啊  %E5%95%8A 
阿  %E9%98%BF 
埃  %E5%9F%83 
挨  %E6%8C%A8 
哎  %E5%93%8E 
唉  %E5%94%89 
哀  %E5%93%80 
皑  %E7%9A%91 
癌  %E7%99%8C 
蔼  %E8%94%BC 
矮  %E7%9F%AE 
艾  %E8%89%BE 
碍  %E7%A2%8D 
爱  %E7%88%B1 
隘  %E9%9A%98 
鞍  %E9%9E%8D 
氨  %E6%B0%A8 
安  %E5%AE%89 
俺  %E4%BF%BA 
按  %E6%8C%89 
暗  %E6%9A%97 
岸  %E5%B2%B8 
胺  %E8%83%BA 
案  %E6%A1%88 
肮  %E8%82%AE 
昂  %E6%98%82 
盎  %E7%9B%8E 
凹  %E5%87%B9 
敖  %E6%95%96 
熬  %E7%86%AC 
翱  %E7%BF%B1 
袄  %E8%A2%84 
傲  %E5%82%B2 
奥  %E5%A5%A5 
懊  %E6%87%8A 
澳  %E6%BE%B3 
芭  %E8%8A%AD 
捌  %E6%8D%8C 
扒  %E6%89%92 
叭  %E5%8F%AD 
吧  %E5%90%A7 
笆  %E7%AC%86 
八  %E5%85%AB 
疤  %E7%96%A4 
巴  %E5%B7%B4 
拔  %E6%8B%94 
跋  %E8%B7%8B 
靶  %E9%9D%B6 
把  %E6%8A%8A 
耙  %E8%80%99 
坝  %E5%9D%9D 
霸  %E9%9C%B8 
罢  %E7%BD%A2 
爸  %E7%88%B8 
白  %E7%99%BD 
柏  %E6%9F%8F 
百  %E7%99%BE 
摆  %E6%91%86 
佰  %E4%BD%B0 
败  %E8%B4%A5 
拜  %E6%8B%9C 
稗  %E7%A8%97 
斑  %E6%96%91 
班  %E7%8F%AD 
搬  %E6%90%AC 
扳  %E6%89%B3 
般  %E8%88%AC 
颁  %E9%A2%81 
板  %E6%9D%BF 
版  %E7%89%88 
扮  %E6%89%AE 
拌  %E6%8B%8C 
伴  %E4%BC%B4 
瓣  %E7%93%A3 
半  %E5%8D%8A 
办  %E5%8A%9E 
绊  %E7%BB%8A 
邦  %E9%82%A6 
帮  %E5%B8%AE 
梆  %E6%A2%86 
榜  %E6%A6%9C 
膀  %E8%86%80 
绑  %E7%BB%91 
棒  %E6%A3%92 
磅  %E7%A3%85 
蚌  %E8%9A%8C 
镑  %E9%95%91 
傍  %E5%82%8D 
谤  %E8%B0%A4 
苞  %E8%8B%9E 
胞  %E8%83%9E 
包  %E5%8C%85 
褒  %E8%A4%92 
剥  %E5%89%A5 
薄  %E8%96%84 
雹  %E9%9B%B9 
保  %E4%BF%9D 
堡  %E5%A0%A1 
饱  %E9%A5%B1 
宝  %E5%AE%9D 
抱  %E6%8A%B1 
报  %E6%8A%A5 
暴  %E6%9A%B4 
豹  %E8%B1%B9 
鲍  %E9%B2%8D 
爆  %E7%88%86 
杯  %E6%9D%AF 
碑  %E7%A2%91 
悲  %E6%82%B2 
卑  %E5%8D%91 
北  %E5%8C%97 
辈  %E8%BE%88 
背  %E8%83%8C 
贝  %E8%B4%9D 
钡  %E9%92%A1 
倍  %E5%80%8D 
狈  %E7%8B%88 
备  %E5%A4%87 
惫  %E6%83%AB 
焙  %E7%84%99 
被  %E8%A2%AB 
奔  %E5%A5%94 
苯  %E8%8B%AF 
本  %E6%9C%AC 
笨  %E7%AC%A8 
崩  %E5%B4%A9 
绷  %E7%BB%B7 
甭  %E7%94%AD 
泵  %E6%B3%B5 
蹦  %E8%B9%A6 
迸  %E8%BF%B8 
逼  %E9%80%BC 
鼻  %E9%BC%BB 
比  %E6%AF%94 
鄙  %E9%84%99 
笔  %E7%AC%94 
彼  %E5%BD%BC 
碧  %E7%A2%A7 
蓖  %E8%93%96 
蔽  %E8%94%BD 
毕  %E6%AF%95 
毙  %E6%AF%99 
毖  %E6%AF%96 
币  %E5%B8%81 
庇  %E5%BA%87 
痹  %E7%97%B9 
闭  %E9%97%AD 
敝  %E6%95%9D 
弊  %E5%BC%8A 
必  %E5%BF%85 
辟  %E8%BE%9F 
壁  %E5%A3%81 
臂  %E8%87%82 
避  %E9%81%BF 
陛  %E9%99%9B 
鞭  %E9%9E%AD 
边  %E8%BE%B9 
编  %E7%BC%96 
贬  %E8%B4%AC 
扁  %E6%89%81 
便  %E4%BE%BF 
变  %E5%8F%98 
卞  %E5%8D%9E 
辨  %E8%BE%A8 
辩  %E8%BE%A9 
辫  %E8%BE%AB 
遍  %E9%81%8D 
标  %E6%A0%87 
彪  %E5%BD%AA 
膘  %E8%86%98 
表  %E8%A1%A8 
鳖  %E9%B3%96 
憋  %E6%86%8B 
别  %E5%88%AB 
瘪  %E7%98%AA 
彬  %E5%BD%AC 
斌  %E6%96%8C 
濒  %E6%BF%92 
滨  %E6%BB%A8 
宾  %E5%AE%BE 
摈  %E6%91%88 
兵  %E5%85%B5 
冰  %E5%86%B0 
柄  %E6%9F%84 
丙  %E4%B8%99 
秉  %E7%A7%89 
饼  %E9%A5%BC 
炳  %E7%82%B3 
病  %E7%97%85 
并  %E5%B9%B6 
玻  %E7%8E%BB 
菠  %E8%8F%A0 
播  %E6%92%AD 
拨  %E6%8B%A8 
钵  %E9%92%B5 
波  %E6%B3%A2 
博  %E5%8D%9A 
勃  %E5%8B%83 
搏  %E6%90%8F 
铂  %E9%93%82 
箔  %E7%AE%94 
伯  %E4%BC%AF 
帛  %E5%B8%9B 
舶  %E8%88%B6 
脖  %E8%84%96 
膊  %E8%86%8A 
渤  %E6%B8%A4 
泊  %E6%B3%8A 
驳  %E9%A9%B3 
捕  %E6%8D%95 
卜  %E5%8D%9C 
哺  %E5%93%BA 
补  %E8%A1%A5 
埠  %E5%9F%A0 
不  %E4%B8%8D 
布  %E5%B8%83 
步  %E6%AD%A5 
簿  %E7%B0%BF 
部  %E9%83%A8 
怖  %E6%80%96 
擦  %E6%93%A6 
猜  %E7%8C%9C 
裁  %E8%A3%81 
材  %E6%9D%90 
才  %E6%89%8D 
财  %E8%B4%A2 
睬  %E7%9D%AC 
踩  %E8%B8%A9 
采  %E9%87%87 
彩  %E5%BD%A9 
菜  %E8%8F%9C 
蔡  %E8%94%A1 
餐  %E9%A4%90 
参  %E5%8F%82 
蚕  %E8%9A%95 
残  %E6%AE%8B 
惭  %E6%83%AD 
惨  %E6%83%A8 
灿  %E7%81%BF 
苍  %E8%8B%8D 
舱  %E8%88%B1 
仓  %E4%BB%93 
沧  %E6%B2%A7 
藏  %E8%97%8F 
操  %E6%93%8D 
糙  %E7%B3%99 
槽  %E6%A7%BD 
曹  %E6%9B%B9 
草  %E8%8D%89 
厕  %E5%8E%95 
策  %E7%AD%96 
侧  %E4%BE%A7 
册  %E5%86%8C 
测  %E6%B5%8B 
层  %E5%B1%82 
蹭  %E8%B9%AD 
插  %E6%8F%92 
茬  %E8%8C%AC 
茶  %E8%8C%B6 
查  %E6%9F%A5 
碴  %E7%A2%B4 
搽  %E6%90%BD 
察  %E5%AF%9F 
岔  %E5%B2%94 
差  %E5%B7%AE 
诧  %E8%AF%A7 
拆  %E6%8B%86 
柴  %E6%9F%B4 
豺  %E8%B1%BA 
搀  %E6%90%80 
掺  %E6%8E%BA 
蝉  %E8%9D%89 
馋  %E9%A6%8B 
谗  %E8%B0%97 
缠  %E7%BC%A0 
铲  %E9%93%B2 
产  %E4%BA%A7 
阐  %E9%98%90 
颤  %E9%A2%A4 
昌  %E6%98%8C 
猖  %E7%8C%96 
场  %E5%9C%BA 
尝  %E5%B0%9D 
常  %E5%B8%B8 
长  %E9%95%BF 
偿  %E5%81%BF 
肠  %E8%82%A0 
厂  %E5%8E%82 
敞  %E6%95%9E 
畅  %E7%95%85 
唱  %E5%94%B1 
倡  %E5%80%A1 
超  %E8%B6%85 
抄  %E6%8A%84 
钞  %E9%92%9E 
朝  %E6%9C%9D 
嘲  %E5%98%B2 
潮  %E6%BD%AE 
巢  %E5%B7%A2 
吵  %E5%90%B5 
炒  %E7%82%92 
车  %E8%BD%A6 
扯  %E6%89%AF 
撤  %E6%92%A4 
掣  %E6%8E%A3 
彻  %E5%BD%BB 
澈  %E6%BE%88 
郴  %E9%83%B4 
臣  %E8%87%A3 
辰  %E8%BE%B0 
尘  %E5%B0%98 
晨  %E6%99%A8 
忱  %E5%BF%B1 
沉  %E6%B2%89 
陈  %E9%99%88 
趁  %E8%B6%81 
衬  %E8%A1%AC 
撑  %E6%92%91 
称  %E7%A7%B0 
城  %E5%9F%8E 
橙  %E6%A9%99 
成  %E6%88%90 
呈  %E5%91%88 
乘  %E4%B9%98 
程  %E7%A8%8B 
惩  %E6%83%A9 
澄  %E6%BE%84 
诚  %E8%AF%9A 
承  %E6%89%BF 
逞  %E9%80%9E 
骋  %E9%AA%8B 
秤  %E7%A7%A4 
吃  %E5%90%83 
痴  %E7%97%B4 
持  %E6%8C%81 
匙  %E5%8C%99 
池  %E6%B1%A0 
迟  %E8%BF%9F 
弛  %E5%BC%9B 
驰  %E9%A9%B0 
耻  %E8%80%BB 
齿  %E9%BD%BF 
侈  %E4%BE%88 
尺  %E5%B0%BA 
赤  %E8%B5%A4 
翅  %E7%BF%85 
斥  %E6%96%A5 
炽  %E7%82%BD 
充  %E5%85%85 
冲  %E5%86%B2 
虫  %E8%99%AB 
崇  %E5%B4%87 
宠  %E5%AE%A0 
抽  %E6%8A%BD 
酬  %E9%85%AC 
畴  %E7%95%B4 
踌  %E8%B8%8C 
稠  %E7%A8%A0 
愁  %E6%84%81 
筹  %E7%AD%B9 
仇  %E4%BB%87 
绸  %E7%BB%B8 
瞅  %E7%9E%85 
丑  %E4%B8%91 
臭  %E8%87%AD 
初  %E5%88%9D 
出  %E5%87%BA 
橱  %E6%A9%B1 
厨  %E5%8E%A8 
躇  %E8%BA%87 
锄  %E9%94%84 
雏  %E9%9B%8F 
滁  %E6%BB%81 
除  %E9%99%A4 
楚  %E6%A5%9A 
础  %E7%A1%80 
储  %E5%82%A8 
矗  %E7%9F%97 
搐  %E6%90%90 
触  %E8%A7%A6 
处  %E5%A4%84 
揣  %E6%8F%A3 
川  %E5%B7%9D 
穿  %E7%A9%BF 
椽  %E6%A4%BD 
传  %E4%BC%A0 
船  %E8%88%B9 
喘  %E5%96%98 
串  %E4%B8%B2 
疮  %E7%96%AE 
窗  %E7%AA%97 
幢  %E5%B9%A2 
床  %E5%BA%8A 
闯  %E9%97%AF 
创  %E5%88%9B 
吹  %E5%90%B9 
炊  %E7%82%8A 
捶  %E6%8D%B6 
锤  %E9%94%A4 
垂  %E5%9E%82 
春  %E6%98%A5 
椿  %E6%A4%BF 
醇  %E9%86%87 
唇  %E5%94%87 
淳  %E6%B7%B3 
纯  %E7%BA%AF 
蠢  %E8%A0%A2 
戳  %E6%88%B3 
绰  %E7%BB%B0 
疵  %E7%96%B5 
茨  %E8%8C%A8 
磁  %E7%A3%81 
雌  %E9%9B%8C 
辞  %E8%BE%9E 
慈  %E6%85%88 
瓷  %E7%93%B7 
词  %E8%AF%8D 
此  %E6%AD%A4 
刺  %E5%88%BA 
赐  %E8%B5%90 
次  %E6%AC%A1 
聪  %E8%81%AA 
葱  %E8%91%B1 
囱  %E5%9B%B1 
匆  %E5%8C%86 
从  %E4%BB%8E 
丛  %E4%B8%9B 
凑  %E5%87%91 
粗  %E7%B2%97 
醋  %E9%86%8B 
簇  %E7%B0%87 
促  %E4%BF%83 
蹿  %E8%B9%BF 
篡  %E7%AF%A1 
窜  %E7%AA%9C 
摧  %E6%91%A7 
崔  %E5%B4%94 
催  %E5%82%AC 
脆  %E8%84%86 
瘁  %E7%98%81 
粹  %E7%B2%B9 
淬  %E6%B7%AC 
翠  %E7%BF%A0 
村  %E6%9D%91 
存  %E5%AD%98 
寸  %E5%AF%B8 
磋  %E7%A3%8B 
撮  %E6%92%AE 
搓  %E6%90%93 
措  %E6%8E%AA 
挫  %E6%8C%AB 
错  %E9%94%99 
搭  %E6%90%AD 
达  %E8%BE%BE 
答  %E7%AD%94 
瘩  %E7%98%A9 
打  %E6%89%93 
大  %E5%A4%A7 
呆  %E5%91%86 
歹  %E6%AD%B9 
傣  %E5%82%A3 
戴  %E6%88%B4 
带  %E5%B8%A6 
殆  %E6%AE%86 
代  %E4%BB%A3 
贷  %E8%B4%B7 
袋  %E8%A2%8B 
待  %E5%BE%85 
逮  %E9%80%AE 
怠  %E6%80%A0 
耽  %E8%80%BD 
担  %E6%8B%85 
丹  %E4%B8%B9 
单  %E5%8D%95 
郸  %E9%83%B8 
掸  %E6%8E%B8 
胆  %E8%83%86 
旦  %E6%97%A6 
氮  %E6%B0%AE 
但  %E4%BD%86 
惮  %E6%83%AE 
淡  %E6%B7%A1 
诞  %E8%AF%9E 
弹  %E5%BC%B9 
蛋  %E8%9B%8B 
当  %E5%BD%93 
挡  %E6%8C%A1 
党  %E5%85%9A 
荡  %E8%8D%A1 
档  %E6%A1%A3 
刀  %E5%88%80 
捣  %E6%8D%A3 
蹈  %E8%B9%88 
倒  %E5%80%92 
岛  %E5%B2%9B 
祷  %E7%A5%B7 
导  %E5%AF%BC 
到  %E5%88%B0 
稻  %E7%A8%BB 
悼  %E6%82%BC 
道  %E9%81%93 
盗  %E7%9B%97 
德  %E5%BE%B7 
